"VINELI SECONDARY SCHOOL, Ikotun",Privately owned,Alimosho,Secondary, vineli@yahoo.com," 0803 506 6357, 0808 556 6434","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5554"",""Read more"")"
"VINESTAR COLLEGE, Shomolu",Privately owned, Shomolu,Secondary, vinestarschool@ymail.com," 0703 382 5671, 0803 307 0821","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8081"",""Read more"")"
VINEVILLE ACADEMY  Alaka Estate,Privately owned,Surulere,Secondary, info@vineville.com," 0802 474 8525, 0803 332 4219","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10913"",""Read more"")"
"VINEYARD COMPREHENSIVE COLLEGE, Alagbado",Privately owned,Alimosho,Secondary, admin@vineyardschools.com, ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49071"",""Read more"")"
"VIVIAN FOWLER MEMORIAL COLLEGE FOR GIRLS, Oregun",Privately owned, Ikeja,Secondary, info@vivianfowler.org, 0802 318 6956       01-774 8822,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3964"",""Read more"")"
Vokeseel Secondary School,Privately owned,Alimosho,Secondary, , 08023073465,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105428"",""Read more"")"
"WAHAB FOLAWIYO JUNIOR HIGH SCHOOL, Ikoyi",State owned,Eti-Osa,Secondary, wahabfolawiy@lagosschoolsonline.com," 0802-512-6136,0702 881 0362","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/603"",""Read more"")"
WAHAB FOLAWIYO SENIOR HIGH SCHOOL,State owned,Eti-Osa,Secondary, wahabfolawiyosnrhigh@lagosschoolsonline.com, 0803-410-5993,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12269"",""Read more"")"
"WEENOBLE COLLEGE, Ikorodu",Privately owned,Oshodi-Isolo,Secondary, , 0810 474 4009,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105286"",""Read more"")"
"WELLSPRING COLLEGE, Omole Phase 2",Privately owned,Kosofe,Secondary, info@wellspringcollege.org," 0803 395 4138,      01-791-7541","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3375"",""Read more"")"
"WENBYS COLLEGE, Idimu",Privately owned,Alimosho,Secondary, wenbyscollege@gmail.com," 0702 550 5300, 0702 550 5301","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11663"",""Read more"")"
WESLEY GIRLS JUNIOR  SECONDARY SCHOOL,State owned,Lagos-Mainland,Secondary, weslygirlsjs@lagosschoolsonline.com," '08054102728, 07056893844","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/653"",""Read more"")"
"WESLEY GIRLS SENIOR SECONDARY SCHOOL, Yaba",State owned,Lagos-Mainland,Secondary, wgsssdist4@lagosschoolsonline.com," 0802 336 6239, 0705 689 3816","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1283"",""Read more"")"
"WESTERN COLLEGE, Yaba",Privately owned,Lagos-Mainland,Secondary, ," 0802 342 2614    ,01-481 8263,    01-736 5664","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3527"",""Read more"")"
"WESTERVILLE COLLEGE, Pedro",Privately owned,,Secondary, wstervillecollege@hotmail.com," 0803 330 9266,   0802 3376 0476 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5523"",""Read more"")"
"WET-LAND COMPREHENSIVE COLLEGE, Obadore",Privately owned,Alimosho,Secondary, ," 0803 328 5064,   0803 570 4181,   0818-810-0035","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3577"",""Read more"")"
"WETLAND COMPREHENSIVE COLLEGE, Idimu",Privately owned,Alimosho,Secondary, ," 0803 328 5064,   0803 570 4181,  01-877-4557 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3579"",""Read more"")"
"WHITEFIELD HIGH SCHOOL, Maza-Maza",Privately owned,Amuwo-Odofin,Secondary, whitefield@yahoo.com," 0803 234 6885,   0803 975 6701","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5841"",""Read more"")"
"WHITESANDS SCHOOL, Lekki Phase 1",Privately owned,Eti-Osa,Secondary, info@whitesands.org.ng," 0802 330 4735,   +233-1-774 0438,    481774","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5163"",""Read more"")"
"WILL B EXCELLENCE SECONDARY SCHOOL, Ikotun",Privately owned,Alimosho,Secondary, wfolaoye@gmail.com," 0803 471 0714,  0806 085 8276","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/48999"",""Read more"")"
"WISDOM SPRING COLLEGE, Egan-Igando",Privately owned,Alimosho,Secondary, wisdomspring01@yahoo.com, 0803 318 9153,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4051"",""Read more"")"
"WONDERFUL LORD COLLEGE, Mile 12-Ketu",Privately owned,Kosofe,Secondary, wonderfullordcollege@yahoo.com," 0802 243 9708,0802 355 5837,0803 300 9159","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7316"",""Read more"")"
"WOODLAND HILLS HIGH SCHOOL, Shasha",Privately owned,Alimosho,Secondary, woodlandnpschool@yahoo.com," 0802 845 5138,     0709 800 1949","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5162"",""Read more"")"
"WURAVILLE COLLEGE, Pedro Bariga",Privately owned, Shomolu,Secondary, wuravillschools@yahoo.com," 0802 384 5748,   0802 318 3936","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5504"",""Read more"")"
"YABA COLLEGE OF TECH. STAFF SCHOOL, Yaba G.R.A",Privately owned,Lagos-Mainland,Secondary, yabatechstaffschool@yahoo.com," 0802 355 5837,  0806 247 8158,  0802 351 2269","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4378"",""Read more"")"
YEGUNDA/IDOMU COMMUNITY JUNIOR HIGH SCHOOL,State owned,Epe,Secondary, , 08022360497,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/578"",""Read more"")"
YEGUNDA/IDOMU COMMUNITY SENIOR HIGH SCHOOL,State owned,Epe,Secondary, yegindasnr@lagosschoolsonline.com," 0703 630 0385, 0802 661 3922","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1102"",""Read more"")"
"YEOLAN SECONDARY SCHOOL, Ijanikin",Privately owned,Ojo,Secondary, yeolanschools@gmail.com," 08028396595, 08023071203","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/48757"",""Read more"")"
"YESHUA HIGH SCHOOL, Ojodu ",Privately owned, Ikeja,Secondary, yeshuahighschool@yahoo.com," 0802 318 7306,    01-8959102 ,","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5761"",""Read more"")"
"YETKEM HIGH SCHOOL, Ajasa",Privately Owned,Alimosho,Secondary, , 01-4726357 & 01-4750187,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2204"",""Read more"")"
YEWA JUNIOR HIGH SCHOOL,State owned,Agege,Secondary, yewajnragege@lagosschoolsonline.com, 0802 324 2098 ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/366"",""Read more"")"
"YEWA SENIOR GRAMMAR SCHOOL, Aga Ikorodu",State owned,Ikorodu,Secondary, yewasnrgsch@lagosschoolsonline.com, 0802 387 1255,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9721"",""Read more"")"
"YINTAB COLLEGE, Owutu",Privately owned,Ikorodu,Secondary," yintabschools@gmail.com, historicbaitei@gmail.com"," 0802 813 9615,  0803 331 1235","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10518"",""Read more"")"
"ZEEKAY COLLEGE, Agbede-Olosugbo",Privately owned,Ikorodu,Secondary, zeekay_schools@yahoo.com," 0802 300 9540, 0802 300 9540","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5539"",""Read more"")"
"ZIONEEL COLLEGE, Lambo Lasunwon Estate",Privately owned,Ikorodu,Secondary, zioneelcollege@yahoo.com, 0802 838 2557,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8240"",""Read more"")"
"ZUMRATUL ISLAMIYYA JUNIOR HIGH SCHOOL, Surulere",State owned,Surulere,Secondary, zumratulijhs@lagosschoolsonline.com," 0803 834 2425,   0705 689 3772, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/999"",""Read more"")"
"ZUMRATUL ISLAMIYYAH JUNIOR GRAMMAR SCHOOL, Igbogbo",State owned,Ikorodu,Secondary, zujnrgramschool@gmail.com, 0802 974 9184,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9805"",""Read more"")"
"ZUMRATUL ISLAMIYYAH SNR GRAM. SCHL, Igbogbo Bayeiwu",State owned,Ikorodu,Secondary, zigsnrsch@lagosschoolsonline.com, 0909 998 6661,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9732"",""Read more"")"
"ZUMRATUL ISLAMMIYAH SENIOR HIGH SCHOOL, Surulere",State owned,Surulere,Secondary, zumislamsnr@lagosschoolsonline.com," '08023388244, 07056893900","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1379"",""Read more"")"
Name of School,LGA,Ownership,Type of School,Email,Phone Numbers,Link
" ALTERNATIVE HIGH SCHOOL FOR GIRLS, Agboju",State owned,Amuwo-Odofin,Secondary, altergirlssc@lagosschoolsonline.com, 08037218349,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11791"",""Read more"")"
"A & T COLLEGE, Tabon-Tabon",Privately owned,Agege,Secondary, ," 0803 385 4578,  0803 325 8098","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3079"",""Read more"")"
"A P COLLEGE,  Ejigbo",Privately owned,Oshodi-Isolo,Secondary, anyebe_peter@yahoo.com," 0805 193 2373,   0806 683 7468","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5551"",""Read more"")"
A-U-D JUNIOR COMPREHENSIVE HIGH SCHOOL,State owned,Oshodi-Isolo,Secondary, okotaaudjnr@yahoo.com, 0802 033 0476,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/934"",""Read more"")"
A-U-D JUNIOR GRAMMAR SCHOOL,State owned,Oshodi-Isolo,Secondary, , 08023509792,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/933"",""Read more"")"
"A-Z COLLEGE, Oshodi",Privately owned,Oshodi-Isolo,Secondary, ," 0706 635 6131,   0803 247 8484","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10022"",""Read more"")"
"A.A. INTERNATIONAL COLLEGE, Satellite ",Privately owned,Amuwo-Odofin,Secondary, aainternationalschools@yahoo.com," 0802 315 0692,     0806 799 3820","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5642"",""Read more"")"
"A.D.S. JUNIOR GRAMMAR SCHOOL, Badagry",State owned, Badagry ,Secondary, , 0803 727 3972,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10216"",""Read more"")"
"A.U.D JUNIOR  HIGH SCHOOL,  Surulere",State owned,Surulere,Secondary, ansarjnrhigh@lagosschoolsonline.com," 0705 689 3910, 0803 438 2260","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1992"",""Read more"")"
A.U.D. COMPREHENSIVE JUNIOR HIGH SCHOOL,State owned,Oshodi-Isolo,Secondary, audcomp@lagosschoolsonline.com, 0802 033 0476,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12417"",""Read more"")"
"AARESTHER DIVINE SECONDARY SCHOOL, AJAO ESTATE.",Privately owned,Oshodi-Isolo,Secondary, aarestherdivine82@yahoo.com," 08030686955, 017914643","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11920"",""Read more"")"
"ABBOT DAYSPRING COLLEGE, Ayobo",Privately owned,Alimosho,Secondary, abbotdayspring@gmail.com," 0802-861-7793, 01 817 3266","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3464"",""Read more"")"
"ABESAN COMPREHENSIVE SENIOR COLLEGE,  Abesan",State owned,Alimosho,Secondary, abesancsnrco@lagosschoolsonline.com, 08024716909  ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1026"",""Read more"")"
"ABESAN JUNIOR HIGH SCHOOL,  Abesa-Ipaja",State owned,Alimosho,Secondary, , 0802 325 2166  or  0802 302 5947,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/380"",""Read more"")"
"ABESAN JUNIOR HIGH SCHOOL, Abesan",State owned,Alimosho,Secondary, abesan2014@lagosschoolsonline.com, 08055801551,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10291"",""Read more"")"
ABESAN SENIOR HIGH SCHOOL,State owned,Alimosho,Secondary, abesansnr@lagosschoolsonline.com, 0802 313 4536,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12215"",""Read more"")"
"ABESAN SENIOR HIGH SCHOOL-1,  Abesan",State owned,Alimosho,Secondary, ,  08023134536,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1912"",""Read more"")"
"ABIBAT MOGAJI MILLENIUM SNR SEC. SCH, Iloro",State owned,Agege,Secondary, abibamogmill@lagosschoolsonline.com, 08180297367,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9514"",""Read more"")"
"ABIKS HIGH SCHOOL,  Tabon-Tabon",Privately owned,Agege,Secondary, abikshighschool@yahoo.com," 0802 313  4447,  0802 762 3260,   0802 326 7508  ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2996"",""Read more"")"
"ABIOLU COMPREHENSIVE COLLEGE, Igando ",Privately owned,Alimosho,Secondary, ," 0802 342 6058,     0803 313 8984","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4657"",""Read more"")"
"ABS COLLEGE, Orile Igammu ",Privately owned,Surulere,Secondary, absinvest@yahoo.com," 0803 713 3325,  0803 337 7844,   0802 944 8604,  0809 718 7821,     01 972 0565,  ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5227"",""Read more"")"
"ACCESS UNIVERSAL COLLEGE, Shasha-Akowonjo",Privately owned,Alimosho,Secondary, accessuniversalcollege2000@yahoo.com," 0802 314 3119,  0809 364 0737, 0702 692 7399, 0805 224 3855,  01-7361601","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2940"",""Read more"")"
"ADAB COMPREHENSIVE COLLEGE, Imude Shibiri",Privately owned,Ojo,Secondary, lakins2008@yahoo.com," 0708 919 7404,  0818 778 3090","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/64347"",""Read more"")"
"ADAM YAKUB MEMORIAL HIGH SCHOOL,Onipetesi",Privately Owned,Agege,Secondary, adam-yakub1@yahoo.com, 0803 669 4770,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2210"",""Read more"")"
"ADE-OSHO COMPREHENSIVE COLLEGE, Bariga ",Privately owned, Shomolu,Secondary, adeoshocollege@yahoo.com," 0803 321 9670,  0803 321 9801","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4555"",""Read more"")"
"ADEBOLA BAPTIST JUNIOR HIGH SCHOOL, Surulere",State owned,Surulere,Secondary, adebolajnr@lagosschoolsonline.com," 0803 516 8610,  0705 689 3902,  0705 689 3903","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/968"",""Read more"")"
"ADEBOLA BAPTIST SENIOR HIGH SCHOOL, Surulere",State owned,Surulere,Secondary, adebolasnr@lagosschoolsonline.com," '08033951745, 07056893846","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2265"",""Read more"")"
"ADEGOKE HIGH SCHOOL, Agege",Privately owned,Agege,Secondary, , 0805 817 4407,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/76026"",""Read more"")"
"ADENIYI GOODWILL PRIVATE SECONDARY SCHOOL, Ijanikin",Privately owned,Ojo,Secondary, adeniyigoodwill@yahoo.com ," 0809 985 8434, 0802 970 9867,   0803 360 2260, 0802 909 4248, 0805 442 2544","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5755"",""Read more"")"
"ADEOLA MEMORIAL COLLEGE, Iju",Privately owned,Ifako/Ijaiye,Secondary, ," 0802 237 4343,  0802 324 2601","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10925"",""Read more"")"
"ADEOLU JUNIOR SECONDARY SCHOOL, Tolu-Apapa",State owned,Ajeromi LGA,Secondary, adeolujss-edu@lagosschoolsonline.com, '0805 342 5247,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2132"",""Read more"")"
"ADEOLU SNR SEC.SCHL, Tolu",State owned,Ajeromi LGA,Secondary, adeolusnrsec@lagosschoolsonline.com, '08028159144,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2148"",""Read more"")"
"ADEX COMPREHENSIVE COLLEGE, Ilasamaja",Privately owned, Mushin,Secondary, ," 0802 334 9131,  0803 347 7886","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6737"",""Read more"")"
"ADRAO INTERNATIONAL SCHOOL, Victoria Island",Privately owned,Eti-Osa,Secondary, adraosch63@yahoo.com," 0806 022 0048,  0808 226 0809,  0702  859  1086, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2938"",""Read more"")"
"ADTAK COLLEGE, Ori-Okuta",Privately owned,Ikorodu,Secondary, adtakschool@yahoo.com," 0818 206 3004,     0802 313 4095","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4596"",""Read more"")"
"AGANJU AKA COMMUNITY JUNIOR SECONDARY SCHOOL, Kemberi",State owned,Ojo,Secondary, edd viaganjujnr@yahoo.com, 0803 375 3007,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10352"",""Read more"")"
"AGAPE BAPTIST COLLEGE, Eric Moore Road ",Privately owned,Surulere,Secondary, , 0803 567 6262,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5710"",""Read more"")"
AGBEDE JUNIOR SECONDARY SCHOOL,State owned,Ikorodu,Secondary, agbedejuniorgrammarschool@gmail.com, 0805 839 4165,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12301"",""Read more"")"
"AGBEDE SENIOR GRAMMAR SCHOOL, Agbade",State owned,Ikorodu,Secondary, Agbedeseniorgrammarschool@yahoo.com, 08023395056,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10879"",""Read more"")"
"AGBOJU JUNIOR SECONDARY SCHOOL, Agboju",State owned,Amuwo-Odofin,Secondary, ," '08020367401, 07023097705","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/521"",""Read more"")"
"AGBOJU SENIOR SECONDARY SCHOOL, Agboju",State owned,Amuwo-Odofin,Secondary, edvagbojusnrsecschool@yahoo.com, '08033608983,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2609"",""Read more"")"
AGBOWA COMM GRAM SCH,State owned,Epe,Secondary, agbowacommsnrgram@lagosschoolsonline.com, 08028371276,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1080"",""Read more"")"
AGBOWA COMMUNITY JUNIOR GRAMMAR SCHOOL,State owned,Epe,Secondary, agbowacomjnr@lagosschoolsonline.com, 08032493291,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/566"",""Read more"")"
"AGIDINGBI JUNIOR GRAMMAR SCHOOL, Agidingbi",State owned, Ikeja,Secondary, agidingbijnr@lagosschoolsonline.com, 0802 366 0230,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1231"",""Read more"")"
AGIDINGBI JUNIOR HIGH SCHOOL,State owned, Ikeja,Secondary, , 08023193396,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/922"",""Read more"")"
"AGIDINGBI SENIOR GRAMMAR SCHOOL, Agidingbi",State owned, Ikeja,Secondary, agidingbisnr@lagosschoolsonline.com, 08037268348,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2670"",""Read more"")"
AGUDA COMMUNITY JUNIOR SECONDARY SCHOOL,State owned,Surulere,Secondary, agudacomm@lagosschoolsonline.com," '08020883801, 08113798859","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12442"",""Read more"")"
AGUDA COMMUNITY SENIOR SECONDARY SCHOOL,State owned,Surulere,Secondary, agudacomm@lagosschoolsonline.com," '08023181021, 08113798857","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12438"",""Read more"")"
AGUDA JUNIOR GRAMMAR SCHOOL,State owned,Surulere,Secondary, agudajnrgramm@lagosschoolsonline.com," '08023119557, 07056893904","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12439"",""Read more"")"
"AGUDA SENOIR GRAMMAR SCHOOL,  Aguda",State owned,Surulere,Secondary, agudaseniorgrammarschool .yahoo.com," '08023271618, 07056893848","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2151"",""Read more"")"
"AISO-OLA INTERNATIONAL SCHOOL, Iba",Privately owned,Ojo,Secondary, aisoolaschool@yahoo.com," 0802 331 8403,  0805 073 5582","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/64427"",""Read more"")"
"AIYETORO SENIOR GRAMMAR SCHOOL, Ebute-Metta",State owned,Lagos-Mainland,Secondary, ayetorosnr@lagosschoolsonline.com," 0803 337 9071,  0705 689 3800","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1274"",""Read more"")"
"AJALOGUN MEMORIAL COLLEGE, Ikorodu",Privately owned,Ikorodu,Secondary, ajalogunmemorialschool@yahoo.com," 0802 305 4811,      0802 321 6131","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4895"",""Read more"")"
AJANGBADI JUNIOR HIGH SCHOOL,State owned,Ojo,Secondary, , 0803 319 3575,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12400"",""Read more"")"
"AJANGBADI SENIOR HIGH SCHOOL,  Afro-Ajangbadi ",State owned,Ojo,Secondary, ajangbadishs@lagosschoolsonline.com, '08034035889,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2349"",""Read more"")"
AJAO ESTATE JUNIOR GRAMMAR SCHOOL,State owned,Oshodi-Isolo,Secondary, ajaoestjnr@lagosschoolsonline.com, 080232004823,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/931"",""Read more"")"
"AJAO ESTATE JUNIOR HIGH SCHOOL, Anthony Village",State owned,Kosofe,Secondary, ajaojunior@lagosschoolsonline.com, 0803 379 6625,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2588"",""Read more"")"
"AJAO ESTATE SENIOR GRAMMAR SCHOOL,  Isolo",State owned,Oshodi-Isolo,Secondary, aesgsisolo@lagosschoolsonline.com, 0806 274 4213,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1872"",""Read more"")"
"AJARA COMPREHENSVE JUNIOR HIGH SCHOOL, Ajara Topa",State owned, Badagry ,Secondary, acjhseddv3@lagosschoolsonline.com, 0803 722 2380,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/543"",""Read more"")"
AJARA JUNIOR GRAMMAR SCHOOL,State owned, Badagry ,Secondary, , 0803 727 3972,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12234"",""Read more"")"
"AJARA SENIOR GRAMMAR SCHOOL, Ajara Vetho.",State owned, Badagry ,Secondary, ajarasnrgram@lagosschoolsonline.com, 0803 359 3165,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7523"",""Read more"")"
AJASA ODUALABE COMM. JNR HIGH SCH. Ajasa,State owned,Alimosho,Secondary, ajasaodualabecommjuniorhigh@yahoo.com, 0803 394 7549,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1785"",""Read more"")"
"AJAYI CROWTHER MEM. SNR GRAM SCHL I, Bariga",State owned, Shomolu,Secondary, , 0803-303-7240,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2375"",""Read more"")"
"AJAYI CROWTHER MEM. SNR GRAM. SCHL II, Bariga",State owned, Shomolu,Secondary, ajayicrowther@lagosschoolsonline.com, 0803-329-0181,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2364"",""Read more"")"
AJE COMPREHENSIVE JUNIOR HIGH SCHOOL,State owned,Lagos-Mainland,Secondary, ajecompjnrsch@lagosschoolsonline.com," 0705 689 3818,   0802 306 0776   ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/858"",""Read more"")"
AJEBO JUNIOR HIGH SCHOOL ,State owned,Epe,Secondary, ajebojunior@lagosschoolsonline.com," 0802 836 2124,08052037711","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/565"",""Read more"")"
AJEBO SENIOR HIGH SCHOOL,State owned,Epe,Secondary, ajeboseniorschool@lagosschoolsonline.com, 8088646987,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1079"",""Read more"")"
"AJEGUNLE JUNIOR HIGH SCHOOL, Kosofe",State owned,Kosofe,Secondary, ajegunlejnr@lagosschoolsonline.com, 0802 301 5551,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9779"",""Read more"")"
"AJEGUNLE SENIOR HIGH SCHOOL, Kosofe",State owned,Kosofe,Secondary, ajegunlesnr@lagosschoolsonline.com, 0802 340 0837,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9791"",""Read more"")"
"AJEROMI IFELODUN JUNIOR HIGH SCHOOL, Ajegunle",State owned,Ajeromi LGA,Secondary, ajifjuniorhigh@lagosschoolsonline.com,  08034097910,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9840"",""Read more"")"
"AJEROMI IFELODUN SNR HIGH SCHL,  Apapa",State owned,Ajeromi LGA,Secondary, ajifsnr@lagosschoolsonline.com, 08023091462,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2162"",""Read more"")"
"AJIBAY ACADEMY, Ayobo",Privately owned,Alimosho,Secondary, ajibay_academy@yahoo.com," 0803 303 0117,   0705 605 6822","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3410"",""Read more"")"
AJIGBEDA GIRLS  JUNIOR HIGH SCHOOL,State owned,Surulere,Secondary, ," '08033460102, 07056893906","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/970"",""Read more"")"
"AJIGBEDA GIRLS SENIOR HIGH SCHOOL,  Surulere",State owned,Surulere,Secondary, ajigbedasnr@lagosschoolsonline.com," 0803 326 8978  or  0705 689 3850, 0705 689 3851","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1352"",""Read more"")"
"AJOKE HIGH SCHOOL, Badagry",Privately owned, Badagry ,Secondary, ajokegroupofschools@yahoo.com," 0803 409 2403,    0703 682 9976","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10040"",""Read more"")"
AJUMONI  SENIOR  GRAMMAR SCHOOL,State owned,Oshodi-Isolo,Secondary, ajumoni54@lagosschoolsonline.com, 0802 300 3127,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1318"",""Read more"")"
